Price,Nifty_Close,Nifty_High,Nifty_Low,Nifty_Open,Nifty_Volume,SP500_Close,Nifty_pct_change,SP500_pct_change,Nifty_up,SP500_up
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,^GSPC,,,,
Date,,,,,,,,,,
2013-01-24,6019.35009765625,6065.2998046875,6007.85009765625,6046.2001953125,185200,1494.8199462890625,-0.005772708349228162,0.001507477027169024,0,1
2013-01-25,6074.64990234375,6080.5498046875,6014.4501953125,6024.5,147600,1502.9599609375,0.009187005871120979,6.614683421224399e-06,1,1
2013-01-28,6074.7998046875,6088.39990234375,6061.39990234375,6082.10009765625,113100,1500.1800537109375,2.467670502159791e-05,0.005445481690718124,1,1
2013-01-29,6049.89990234375,6111.7998046875,6042.4501953125,6064.7001953125,157600,1507.8399658203125,-0.004098884431473215,-0.0018496216125600817,0,0
2013-01-30,6055.75,6071.9501953125,6044.14990234375,6065.0,124200,1501.9599609375,0.0009669742889437671,0.005105995170664235,1,1
2013-01-31,6034.75,6058.0498046875,6025.14990234375,6045.64990234375,168500,1498.1099853515625,-0.003467778557569301,-0.0038996213232838084,0,0
2013-02-01,5998.89990234375,6052.9501953125,5983.2001953125,6040.9501953125,159300,1513.1700439453125,-0.005940610241724986,-0.0025633010773032927,0,0
2013-02-04,5987.25,6038.5,5981.25,6025.2001953125,141700,1495.7099609375,-0.0019420064567502449,0.010052705569688847,0,1
2013-02-05,5956.89990234375,5970.35009765625,5946.89990234375,5948.2001953125,136200,1511.2900390625,-0.00506912149254668,-0.011538744820964397,0,0
2013-02-06,5959.2001953125,5990.89990234375,5953.14990234375,5988.0498046875,157800,1512.1199951171875,0.0003861560554081489,0.010416510240551347,1,1
2013-02-07,5938.7998046875,5978.5,5927.60009765625,5936.4501953125,157600,1509.3900146484375,-0.0034233437300943415,0.0005491705981217621,0,1
2013-02-08,5903.5,5953.7001953125,5883.64990234375,5929.10009765625,192600,1517.9300537109375,-0.005943929051058117,-0.0018053993582290984,0,0
2013-02-11,5897.85009765625,5924.14990234375,5879.10009765625,5920.0498046875,122000,1517.010009765625,-0.0009570428294656264,0.005657940611518475,0,1
2013-02-12,5922.5,5927.64990234375,5886.4501953125,5894.35009765625,142800,1519.4300537109375,0.004179472508727411,-0.000606117484177382,1,0
2013-02-13,5932.9501953125,5969.5,5922.9501953125,5943.14990234375,142600,1520.3299560546875,0.0017644905550864287,0.001595272232703504,1,1
2013-02-14,5896.9501953125,5940.2001953125,5884.5498046875,5933.2001953125,143800,1521.3800048828125,-0.006067807551872417,0.000592263093356804,0,1
2013-02-15,5887.39990234375,5899.9501953125,5853.89990234375,5869.9501953125,125100,1519.7900390625,-0.0016195308850228685,0.0006906716689645265,0,1
2013-02-19,5939.7001953125,5947.5498046875,5883.14990234375,5900.2001953125,101000,1530.93994140625,0.008883427970967084,-0.0010450813177572682,1,0
2013-02-20,5943.0498046875,5971.0,5937.5498046875,5966.2998046875,135400,1511.949951171875,0.0005639357652500454,0.007336475471722448,1,1
2013-02-21,5852.25,5921.14990234375,5844.39990234375,5909.64990234375,159400,1502.4200439453125,-0.015278317980085387,-0.012404137955230099,0,0
2013-02-22,5850.2998046875,5873.7998046875,5835.7998046875,5837.9501953125,157000,1515.5999755859375,-0.0003332385514118741,-0.006303057332801343,0,0
2013-02-25,5854.75,5878.39990234375,5825.0,5870.5498046875,125100,1487.8499755859375,0.0007606781636959603,0.008772467921830174,1,1
2013-02-26,5761.35009765625,5838.85009765625,5748.60009765625,5838.2998046875,157400,1496.93994140625,-0.01595284211003889,-0.018309580659152336,0,0
2013-02-27,5796.89990234375,5818.2001953125,5749.7001953125,5784.89990234375,175200,1515.989990234375,0.006170394800684376,0.006109463971145868,1,1
2013-02-28,5693.0498046875,5849.89990234375,5671.89990234375,5834.35009765625,334900,1514.6800537109375,-0.017914764685562745,0.012725994077109837,0,1
2013-03-01,5719.7001953125,5739.4501953125,5679.89990234375,5702.4501953125,174500,1518.199951171875,0.004681215084936907,-0.0008640799292052304,1,0
2013-03-04,5698.5,5712.0,5663.60009765625,5704.7001953125,144900,1525.199951171875,-0.0037065221232879253,0.002323855425648391,0,1
2013-03-05,5784.25,5790.10009765625,5722.39990234375,5722.4501953125,154400,1539.7900390625,0.01504781960164947,0.00461072337316093,1,1
2013-03-06,5818.60009765625,5828.7001953125,5795.0498046875,5816.39990234375,156900,1541.4599609375,0.005938556883995361,0.00956601649469957,1,1
2013-03-07,5863.2998046875,5878.0,5801.2998046875,5801.2998046875,134700,1544.260009765625,0.007682209858219213,0.001084512714484509,1,1
2013-03-08,5945.7001953125,5952.85009765625,5883.0,5883.64990234375,150800,1551.1800537109375,0.014053586439350063,0.0018164914425815581,1,1
2013-03-11,5942.35009765625,5971.2001953125,5930.35009765625,5946.10009765625,125400,1556.219970703125,-0.0005634488026979856,0.004481139122655131,0,1
2013-03-12,5914.10009765625,5952.0,5893.64990234375,5944.60009765625,115900,1552.47998046875,-0.00475401138198539,0.0032490857396794137,0,1
2013-03-13,5851.2001953125,5893.85009765625,5842.25,5884.7998046875,116700,1554.52001953125,-0.01063558298052436,-0.0024032529493148713,0,0
2013-03-14,5908.9501953125,5920.14990234375,5791.75,5845.9501953125,149000,1563.22998046875,0.009869769974075515,0.00131405176760091,1,1
