Date,Adj Close,Close,High,Low,Open,Volume,RBI Repo Rate,NiftyPctChange,SnpYesterdayPctChange
2013-01-22,6048.5,6048.5,6101.2998046875,6040.5,6080.14990234375,129000,6.8,0,1.0
2013-01-23,6054.2998046875,6054.2998046875,6069.7998046875,6021.14990234375,6052.85009765625,137000,6.8,1,1.0
2013-01-24,6019.35009765625,6019.35009765625,6065.2998046875,6007.85009765625,6046.2001953125,185200,6.8,0,1.0
2013-01-25,6074.64990234375,6074.64990234375,6080.5498046875,6014.4501953125,6024.5,147600,6.8,1,1.0
2013-01-28,6074.7998046875,6074.7998046875,6088.39990234375,6061.39990234375,6082.10009765625,113100,6.8,0,1.0
2013-01-29,6049.89990234375,6049.89990234375,6111.7998046875,6042.4501953125,6064.7001953125,157600,6.8,0,0.0
2013-01-30,6055.75,6055.75,6071.9501953125,6044.14990234375,6065.0,124200,6.8,0,1.0
2013-01-31,6034.75,6034.75,6058.0498046875,6025.14990234375,6045.64990234375,168500,6.8,0,0.0
2013-02-01,5998.89990234375,5998.89990234375,6052.9501953125,5983.2001953125,6040.9501953125,159300,6.8,0,0.0
2013-02-04,5987.25,5987.25,6038.5,5981.25,6025.2001953125,141700,6.8,0,1.0
2013-02-05,5956.89990234375,5956.89990234375,5970.35009765625,5946.89990234375,5948.2001953125,136200,6.8,1,0.0
2013-02-06,5959.2001953125,5959.2001953125,5990.89990234375,5953.14990234375,5988.0498046875,157800,6.8,0,1.0
2013-02-07,5938.7998046875,5938.7998046875,5978.5,5927.60009765625,5936.4501953125,157600,6.8,1,1.0
2013-02-08,5903.5,5903.5,5953.7001953125,5883.64990234375,5929.10009765625,192600,6.8,0,0.0
2013-02-11,5897.85009765625,5897.85009765625,5924.14990234375,5879.10009765625,5920.0498046875,122000,6.8,0,1.0
2013-02-12,5922.5,5922.5,5927.64990234375,5886.4501953125,5894.35009765625,142800,6.8,1,0.0
2013-02-13,5932.9501953125,5932.9501953125,5969.5,5922.9501953125,5943.14990234375,142600,6.8,0,1.0
2013-02-14,5896.9501953125,5896.9501953125,5940.2001953125,5884.5498046875,5933.2001953125,143800,6.8,0,1.0
2013-02-15,5887.39990234375,5887.39990234375,5899.9501953125,5853.89990234375,5869.9501953125,125100,6.8,1,1.0
2013-02-19,5939.7001953125,5939.7001953125,5947.5498046875,5883.14990234375,5900.2001953125,101000,6.8,1,0.0
2013-02-20,5943.0498046875,5943.0498046875,5971.0,5937.5498046875,5966.2998046875,135400,6.8,0,1.0
2013-02-21,5852.25,5852.25,5921.14990234375,5844.39990234375,5909.64990234375,159400,6.8,0,0.0
